seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
-1640491018,1,0,0,37,38,113,112,0.8533333333333334,0.8533333333333334,3.4594594594594597,3.3684210526315788,0.42,0.42,1.7027027027027026,1.6578947368421053,8
-138924076,1,0,0,52,54,98,96,0.9933333333333333,0.9933333333333333,2.8653846153846154,2.759259259259259,0.5933333333333334,0.5933333333333334,1.7115384615384615,1.6481481481481481,8
289207734,1,0,0,52,47,98,103,1.1066666666666667,1.1066666666666667,3.1923076923076925,3.5319148936170213,0.56,0.56,1.6153846153846154,1.7872340425531914,8
-1747633519,1,0,0,47,48,103,102,0.8,0.8,2.5531914893617023,2.5,0.5466666666666666,0.5466666666666666,1.7446808510638299,1.7083333333333333,8
-1377749948,1,0,0,45,36,105,114,0.9133333333333333,0.9133333333333333,3.0444444444444443,3.8055555555555554,0.43333333333333335,0.43333333333333335,1.4444444444444444,1.8055555555555556,8
-392215344,1,0,0,41,39,109,111,0.7266666666666667,0.7266666666666667,2.658536585365854,2.7948717948717947,0.5,0.5,1.829268292682927,1.9230769230769231,8
-489544792,1,0,0,47,44,103,106,0.8333333333333334,0.8333333333333334,2.6595744680851063,2.840909090909091,0.5,0.5,1.5957446808510638,1.7045454545454546,8
-689692123,1,0,0,38,49,112,101,0.8533333333333334,0.8533333333333334,3.3684210526315788,2.6122448979591835,0.4666666666666667,0.4666666666666667,1.8421052631578947,1.4285714285714286,8
221311101,1,0,0,50,51,100,99,0.9733333333333334,0.9733333333333334,2.92,2.8627450980392157,0.6133333333333333,0.6133333333333333,1.84,1.803921568627451,8
1078466294,1,0,0,45,37,105,113,0.6933333333333334,0.6933333333333334,2.311111111111111,2.810810810810811,0.38666666666666666,0.38666666666666666,1.288888888888889,1.5675675675675675,8
1194454471,1,0,0,35,42,115,108,0.58,0.58,2.4857142857142858,2.0714285714285716,0.3466666666666667,0.3466666666666667,1.4857142857142858,1.2380952380952381,8
